gate lenght,Theta,Phi,dt,combination,total time,computing time
10,1.541922242,1.685870208,5,"[1, 3, 2, 4, 1, 3, 2, 4, 4, 0]",50,38.89287758
13,2.200803796,0.196958112,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",65,11.90859413
18,3.028068374,3.957269299,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,184.044641
14,2.370188446,4.246604812,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4]",70,30.03156185
12,2.037847654,1.848679751,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1]",60,10.42377257
18,2.934236475,4.499807719,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,183.7911558
14,1.984268353,4.55708928,5,"[2, 4, 1, 3, 3, 2, 4, 3, 3, 4, 4, 1, 3, 2]",70,253.3415577
1,0.323487821,3.816834634,5,[2],5,0.01401186
11,2.074653994,0.102431592,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",55,5.015102625
18,2.804558647,4.459730237,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 4, 4, 3, 2, 2]",90,351.7240655
5,0.950909346,5.330851748,5,"[4, 1, 3, 2, 4]",25,1.316288471
10,1.348014878,1.542372841,5,"[1, 3, 2, 4, 4, 1, 3, 2, 1, 3]",50,85.01421523
8,1.202744762,4.985200797,5,"[1, 3, 2, 4, 1, 3, 3, 2]",40,19.39526272
4,0.710451386,1.717766565,5,"[2, 4, 1, 1]",20,1.929423571
6,0.908884424,4.413757431,5,"[2, 4, 4, 1, 3, 2]",30,8.792819262
8,1.502957955,5.078829637,5,"[1, 3, 2, 4, 1, 3, 2, 4]",40,2.58556819
6,0.993345375,1.796982724,5,"[1, 3, 2, 4, 1, 1]",30,2.449537516
15,2.481518817,0.011946432,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",75,30.23999834
4,0.834034335,3.730474496,5,"[4, 1, 3, 2]",20,1.12053442
6,1.124728934,5.14108233,5,"[2, 4, 1, 3, 2, 4]",30,0.885194063
5,0.768306003,2.811686566,5,"[3, 2, 1, 1, 2]",25,8.147790909
9,1.450209239,2.345787168,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3]",45,24.7224257
12,1.911256268,0.997949266,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,122.3358877
14,2.410974093,5.087172488,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2]",70,34.3047893
1,0.283357897,3.026543646,5,[3],5,0.015003681
10,1.531514766,0.957185907,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",50,39.16501737
11,1.814423219,0.236283467,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 2, 1]",55,13.47996211
16,2.773988459,1.633169613,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",80,76.00887227
9,1.461198299,0.377392845,5,"[1, 3, 2, 4, 1, 3, 2, 2, 1]",45,9.877178669
15,2.464490635,1.918472222,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1]",75,149.0759466
5,0.609227092,6.255129359,5,"[1, 3, 3, 2, 1]",25,4.363090754
0,0.040535013,1.144048655,5,[],0,0.002007961
3,0.542544522,6.226829829,5,"[2, 4, 4]",15,1.289283514
16,2.666230328,3.67490148,5,"[1, 3, 2, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",80,128.1000736
8,1.107235411,0.898302073,5,"[2, 4, 4, 1, 3, 2, 1, 1]",40,37.78860235
9,1.391067621,5.614369986,5,"[1, 3, 3, 2, 4, 1, 3, 2, 4]",45,19.54643178
14,2.394880745,1.979646042,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1]",70,41.45311022
